com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
ALLEN WEH FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00555573,Q1,S,P,Q,3700 RIO GRANDE BLVD NW SUITE 1 C/O CSI AVIATION INC,ALBUQUERQUE,NM,87107,REBECCA SANCHEZ,C00555573,2016,"$1,250.00",,"$1,250.00",,,,,,"$1,250.00",,,,,,,,,,,,,"$1,300.00",,"$2,257.00",,,,$50.00,,,,,,,,,,,,,,,,,,,"$2,257.00","$1,250.00","$2,207.00","$5,175.00","$4,217.00","$455,000.00",,2015-01-01,2015-03-31,,S4NM00100,,,,,,,,,,,,,,,,,,,,,
ALLEN WEH FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00555573,Q2,S,P,Q,3700 RIO GRANDE BLVD NW SUITE 1 C/O CSI AVIATION INC,ALBUQUERQUE,NM,87107,REBECCA SANCHEZ,C00555573,2016,,$50.00,$50.00,,,,,,$50.00,,,,,,,,,,,,"$1,400.00","$1,450.00",,$786.00,,,,,,,,,,,,,,,,,,,,,,,$786.00,$50.00,$786.00,"$4,217.00","$4,880.00","$455,000.00",,2015-04-01,2015-06-30,,S4NM00100,,,,,,,,,,,,,,,,,,,,,
ALLYSON SCHWARTZ FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00389197,TER,H,P,T,P.O. BOX 2232,JENKINTOWN,PA,19046,"HARBISON, JEFFREY T",C00389197,2016,,,,,,,,,,,,,,,,,,,,,,$201.00,,"$1,697.53",,,,$201.00,,,,,,,,,,,,,,,,,"$1,603.08",,"$3,300.61",,"$1,496.53","$3,099.61",,,,2015-01-01,2015-03-18,,H4PA13124,,,,,,,,,,,,,,,,,,,,,
ALMA ADAMS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00546358,Q1,H,P,Q,P.O. BOX 20622,GREENSBORO,NC,27420,"WINSTEAD, ARTHUR M JR",C00546358,2016,"$7,800.00",$689.00,"$8,489.00",,,"$44,000.00",,,"$52,489.00",,,,,,,,,,,,,"$52,489.00",,"$28,072.42",,,,,,,,,,,,,,,"$5,000.00",,,,,,,,"$33,072.42","$52,489.00","$28,072.42","$23,091.45","$42,508.03","$3,757.28",,2015-01-01,2015-03-31,,H4NC12100,,,,,,,,,,,,,,,,,,,,,
ALMA ADAMS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00546358,Q2,H,P,Q,P.O. BOX 20622,GREENSBORO,NC,27420,"WINSTEAD, ARTHUR M JR",C00546358,2016,"$13,361.92","$1,922.32","$15,284.24",,,"$39,417.70",,,"$54,701.94",,,,,,,,,,,,,"$54,701.94",,"$32,229.86",,,,,,,,,,,,,,,"$2,500.00",,,,,,$100.00,,"$34,829.86","$54,701.94","$32,229.86","$42,508.03","$62,380.11",,,2015-04-01,2015-06-30,,H4NC12100,,,,,,,,,,,,,,,,,,,,,
AMANDA CURTIS FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00567834,TER,S,P,Q,3242 CUMMINS WAY,MISSOULA,MT,59802,MARY SEXTON,C00567834,2016,,,,,,,,,,,,,,,,,,,,,$97.00,$837.00,,"$6,375.00",,,,$739.00,,,,,,,,,,,,,,,,,"$3,452.00",,"$9,827.00",,"$5,635.00","$8,990.00",,,,2015-01-01,2015-02-18,,S4MT00159,,,,,,,,,,,,,,,,,,,,,
AMANDA CURTIS FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00567834,Q1,S,P,Q,3242 CUMMINS WAY,MISSOULA,MT,59802,MARY SEXTON,C00567834,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-19,2015-03-31,,S4MT00159,,,,,,,,,,,,,,,,,,,,,
AMANDA CURTIS FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00567834,Q2,S,P,Q,3242 CUMMINS WAY,MISSOULA,MT,59802,MARY SEXTON,C00567834,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-01,2015-06-30,,S4MT00159,,,,,,,,,,,,,,,,,,,,,
AMERICANS FOR DOUG TRUAX,http://images.nictusa.com/cgi-bin/fecimg/?C00546457,Q1,S,P,Q,PO BOX 4808,OAK BROOK,IL,60522,SHERRY GASKILL,C00546457,2016,,$50.00,$50.00,,,,,,$50.00,,$87.00,,,,$87.00,,,,,,,$137.00,,$87.00,,,,,,,,,,,,,,,,,,,,,,,$87.00,$50.00,$87.00,-$420.00,-$370.00,"$49,685.00",,2015-01-01,2015-03-31,,S4IL00438,,,,,,,,,,,,,,,,,,,,,
AMERICANS FOR DOUG TRUAX,http://images.nictusa.com/cgi-bin/fecimg/?C00546457,Q2,S,P,Q,PO BOX 4808,OAK BROOK,IL,60522,SHERRY GASKILL,C00546457,2016,,,,,,,,,,,"$2,400.00",,,,"$2,400.00",,,,,,,"$2,400.00",,"$2,400.00",,,,,,,,,,,,,,,,,,,,,,,"$2,400.00",,"$2,400.00",-$370.00,-$370.00,"$52,460.00",,2015-04-01,2015-06-30,,S4IL00438,,,,,,,,,,,,,,,,,,,,,
AMERICANS FOR GABRIEL ROTHBLATT,http://images.nictusa.com/cgi-bin/fecimg/?C00543439,TER,H,P,Q,PO BOX 510136,MELBOURNE BEACH,FL,32951,"ROTHBLATT, TAJ ALICE JONES MRS.",C00543439,2016,,,,,,,,"$13,033.88","$13,033.88",,,,,,,,,,,,$.10,"$13,033.98",,"$19,849.00",,,,,,,,,,,,,,,,,,,,,,,"$19,849.00","$13,033.88","$19,849.00",,"-$6,815.02",,,2015-01-01,2015-03-31,,H4FL08085,,,,,,,,,,,,,,,,,,,,,
AMERICANS FOR GABRIEL ROTHBLATT,http://images.nictusa.com/cgi-bin/fecimg/?C00543439,Q2,H,P,Q,PO BOX 510136,MELBOURNE BEACH,FL,32951,"ROTHBLATT, TAJ ALICE JONES MRS.",C00543439,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-01,2015-06-30,,H4FL08085,,,,,,,,,,,,,,,,,,,,,
AMI BERA FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00461061,Q1,H,P,Q,PO BOX 582496,ELK GROVE,CA,95758,"MAY, JENNIFER",C00461061,2016,"$148,226.00","$23,707.83","$171,933.83","$2,250.00",$483.27,"$135,700.00","$12,500.00",,"$308,117.10","$14,750.00",,,,,,,,,,,"$1,352.49","$309,469.59",,"$94,311.49",,,,,,,,,,,,,,,,,,,,,,,"$109,061.49","$293,367.10","$94,311.49","$152,506.33","$352,914.43","$324,800.00",,2015-01-01,2015-03-31,,H0CA03078,,,,,,,,,,,,,,,,,,,,,
AMI BERA FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00461061,Q2,H,P,Q,PO BOX 582496,ELK GROVE,CA,95758,"MAY, JENNIFER",C00461061,2016,"$210,178.65","$13,415.71","$223,594.36",$710.00,$317.00,"$199,150.00","$7,000.00",,"$423,061.36","$7,710.00",,"$5,000.00",,,,"$5,000.00",,,,,,"$423,061.36",,"$76,898.84",,,,,,,,,,,,,,,,,,,,,,,"$89,608.84","$415,351.36","$76,898.84","$352,914.43","$686,366.95","$319,800.00",,2015-04-01,2015-06-30,,H0CA03078,,,,,,,,,,,,,,,,,,,,,
AMODEI FOR NEVADA,http://images.nictusa.com/cgi-bin/fecimg/?C00496760,Q1,H,P,Q,503 N DIVISION ST,CARSON CITY,NV,89703,NICOLA NEILON,C00496760,2016,"$26,800.00","$1,150.00","$27,950.00",,,"$23,368.55",,,"$51,318.55",,,,,,,,,,,,,"$55,635.55",,"$52,208.64",,,,"$4,317.00",,,,,,,,,,,,,,,,,,,"$52,208.64","$51,318.55","$47,891.64","$195,378.40","$198,805.31","$9,000.00",,2015-01-01,2015-03-31,,H2NV02395,,,,,,,,,,,,,,,,,,,,,
AMODEI FOR NEVADA,http://images.nictusa.com/cgi-bin/fecimg/?C00496760,Q2,H,P,Q,503 N DIVISION ST,CARSON CITY,NV,89703,NICOLA NEILON,C00496760,2016,"$64,900.00","$7,600.00","$72,500.00","$2,400.00",,"$47,200.00",,,"$119,700.00","$2,400.00",,,,,,,,,,,,"$120,199.96",,"$45,769.30",,,,$499.96,,,,,,,,,,,,,,,,,,,"$48,169.30","$117,300.00","$45,269.34","$198,805.31","$270,835.97","$9,000.00",,2015-04-01,2015-06-30,,H2NV02395,,,,,,,,,,,,,,,,,,,,,
ANA SOL-GUTIERREZ FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00577650,Q2,H,P,Q,3317 TURNER LANE,CHEVY CHASE,MD,20815,"QUINONEZ, HERBERT A. MR.",C00577650,2016,"$28,300.00","$5,810.00","$34,110.00",,,"$2,000.00",,,"$36,110.00",,"$50,000.00",,,,"$50,000.00",,,,,,,"$86,110.00",,"$6,007.07",,,,,,,,,,,,,,,,,,,,,,,"$6,007.07","$36,110.00","$6,007.07",,"$80,102.93","$50,000.00",,2015-04-01,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,
ANDRE BAUER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00504993,Q1,H,P,Q,P.O. BOX 1597,LITTLE RIVER,SC,29566,"COLE, RANDALL",C00504993,2016,"$1,600.00",,"$1,600.00",,,,,,"$1,600.00",,,,,,,,,,,,,"$1,600.00",,,,,,,,,,,,,,,,,,,,,,,"$3,100.00",,"$3,100.00","$1,600.00",,"$3,092.01","$1,592.01","$70,314.37",,2015-01-01,2015-03-31,,H2SC00020,,,,,,,,,,,,,,,,,,,,,
ANDRE BAUER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00504993,Q2,H,P,Q,P.O. BOX 1597,LITTLE RIVER,SC,29566,"COLE, RANDALL",C00504993,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,592.01","$1,592.01","$70,314.37",,2015-04-01,2015-06-30,,H2SC00020,,,,,,,,,,,,,,,,,,,,,
ANDRE CARSON FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00442921,Q1,H,P,Q,P.O. BOX 1863,INDIANAPOLIS,IN,46206,"MORIARTY, TIMOTHY J.",C00442921,2016,"$36,650.00","$4,490.00","$41,140.00",$25.00,,"$42,550.00",,,"$83,690.00",$25.00,,,,,,,,,,,$90.20,"$83,980.20",,"$68,330.97",,,,$200.00,,,,,,,,,,,,,,,,,"$11,750.00",,"$80,105.97","$83,665.00","$68,130.97","$685,209.70","$689,083.93",,,2015-01-01,2015-03-31,,H8IN07184,,,,,,,,,,,,,,,,,,,,,
ANDRE CARSON FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00442921,Q2,H,P,Q,P.O. BOX 1863,INDIANAPOLIS,IN,46206,"MORIARTY, TIMOTHY J.",C00442921,2016,"$95,638.43","$4,215.87","$99,854.30","$2,700.00",,"$72,500.00",,,"$172,354.30","$2,700.00",,,,,,,,,,,$91.23,"$172,445.53",,"$59,967.47",,,,,,,,,,,,,,,,,,,,,"$11,100.00",,"$73,767.47","$169,654.30","$59,967.47","$689,083.93","$787,761.99","$5,710.24",,2015-04-01,2015-06-30,,H8IN07184,,,,,,,,,,,,,,,,,,,,,
ANDREA ZOPP FOR US SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00579227,Q2,S,P,Q,PO BOX 6228,CHICAGO,IL,60606,HEIDI RUDOLPH,C00579227,2016,"$602,037.00","$25,924.00","$627,962.00",,,"$1,200.00",,,"$629,162.00",,"$42,114.00",,,,"$42,114.00",,,,,,,"$671,277.00",,"$67,905.00",,,,,,,,,,,,,,,,,,,,,,,"$67,905.00","$629,162.00","$67,905.00",,"$603,372.00","$42,114.00",,2015-04-01,2015-06-30,,S6IL00300,,,,,,,,,,,,,,,,,,,,,
ANDREW STRAW FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00577767,Q2,H,P,Q,1900 E. GOLF ROAD SUITE 950,SCHAUMBURG,IL,60173,"STRAW, ANDREW",C00577767,2016,,$5.00,$5.00,,,,,$352.61,$357.61,,,,,,,,,,,,,$357.61,,$352.61,,,,,,,,,,,,,,,,,,,,,,,$352.61,$357.61,$352.61,,$5.00,,,2015-04-01,2015-06-30,,H6IL04138,,,,,,,,,,,,,,,,,,,,,
ANDREW WALTER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00543280,Q1,H,P,Q,PO BOX 13321,TEMPE,AZ,852840056,"MARSTON, CHRIS",C00543280,2016,,,,,,,,,,,,,,,,,,,,,$.23,$.23,,$750.00,,,,,,,,,,,,,,,,,,,,,,,$750.00,,$750.00,"$3,957.10","$3,207.33",,,2015-01-01,2015-03-31,,H4AZ09023,,,,,,,,,,,,,,,,,,,,,
ANDREW WALTER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00543280,Q2,H,P,Q,PO BOX 13321,TEMPE,AZ,852840056,"MARSTON, CHRIS",C00543280,2016,,,,,,,,,,,,,,,,,,,,,$.22,$.22,,$750.00,,,,,,,,,,,,,,,,,,,,,,,$750.00,,$750.00,"$3,207.33","$2,457.55",,,2015-04-01,2015-06-30,,H4AZ09023,,,,,,,,,,,,,,,,,,,,,
ANDREWS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00243428,Q1,H,P,Q,215 FOURTH AVENUE,HADDON HEIGHTS,NJ,7076,"FERDINAND, ROBYN MS.",C00243428,2016,,,,,,,,,,,,,,,,,,,,,$180.31,$180.31,,"$6,410.33",,,,,,,,,,,,,,,,,,,,,,,"$6,410.33",,"$6,410.33","$303,681.75","$297,451.73",,,2015-01-01,2015-03-31,,H0NJ01066,,,,,,,,,,,,,,,,,,,,,
ANDREWS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00243428,Q2,H,P,Q,215 FOURTH AVENUE,HADDON HEIGHTS,NJ,7076,"FERDINAND, ROBYN MS.",C00243428,2016,,,,,,,,,,,,,,,,,,,,,$178.30,$178.30,,"$21,532.88",,,,,,,,,,,,,,,,,,,,,,,"$21,532.88",,"$21,532.88","$297,451.73","$276,097.15",,,2015-04-01,2015-06-30,,H0NJ01066,,,,,,,,,,,,,,,,,,,,,
ANDREWS FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00448654,Q1,S,P,Q,215 FOURTH AVE,HADDON HEIGHTS,NJ,8035,MS ROBYN FERDINAND,C00448654,2016,,,,,,,,,,,,,,,,,,,,,$12.00,$12.00,,$53.00,,,,,,,,,,,,,,,,,,,,,,,$53.00,,$53.00,"$2,048.00","$2,007.00","$114,606.00",,2015-01-01,2015-03-31,,S8NJ00392,,,,,,,,,,,,,,,,,,,,,
ANDREWS FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00448654,Q2,S,P,Q,215 FOURTH AVE,HADDON HEIGHTS,NJ,8035,MS ROBYN FERDINAND,C00448654,2016,,,,,,,,,,,,,,,,,,,,,$12.00,$12.00,,$37.00,,,,,,,,,,,,,,,,,,,,,,,$37.00,,$37.00,"$2,007.00","$1,981.00","$114,606.00",,2015-04-01,2015-06-30,,S8NJ00392,,,,,,,,,,,,,,,,,,,,,
"ANDY BARR FOR CONGRESS, INC.",http://images.nictusa.com/cgi-bin/fecimg/?C00467571,Q1,H,P,Q,PO BOX 2059,LEXINGTON,KY,40588,"ANDERSON, CHRISTOPHER E. MR.",C00467571,2016,"$159,624.00","$1,131.25","$160,755.25",,,"$98,543.90",,,"$259,299.15",,,,,,,,$130.82,,,,$2.56,"$260,257.80",,"$67,072.17",,,,$825.27,,,,,,,,,,,,,,,,,,,"$67,072.17","$259,299.15","$66,246.90","$488,765.33","$681,950.96",,,2015-01-01,2015-03-31,,H0KY06104,,,,,,,,,,,,,,,,,,,,,
"ANDY BARR FOR CONGRESS, INC.",http://images.nictusa.com/cgi-bin/fecimg/?C00467571,Q2,H,P,Q,PO BOX 2059,LEXINGTON,KY,40588,"ANDERSON, CHRISTOPHER E. MR.",C00467571,2016,"$91,950.00","$8,895.00","$100,845.00","$2,000.00",,"$160,750.00",,,"$261,595.00","$2,000.00",,,,,,,,,,,$4.77,"$263,366.53",,"$78,710.23",,,,"$1,766.76",,,,,,,,,,,,,,,,,"$36,500.00",,"$117,210.23","$259,595.00","$76,943.47","$681,950.96","$828,107.26",,,2015-04-01,2015-06-30,,H0KY06104,,,,,,,,,,,,,,,,,,,,,
ANDY HARRIS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00435974,Q1,H,P,Q,PO BOX 426,STEVENSVILLE,MD,21666,"DEPEW, JAMES",C00435974,2016,"$83,937.00","$15,542.00","$99,479.00",,,"$55,000.00",,,"$154,479.00",,,,,,,,,,,,$93.11,"$154,572.11",,"$47,128.22",,,,,,,,,,,,,,,,,,,,,"$13,400.00",,"$60,528.22","$154,479.00","$47,128.22","$297,598.73","$391,642.62",,,2015-01-01,2015-03-31,,H8MD01094,,,,,,,,,,,,,,,,,,,,,
ANDY HARRIS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00435974,Q2,H,P,Q,PO BOX 426,STEVENSVILLE,MD,21666,"DEPEW, JAMES",C00435974,2016,"$135,086.00","$36,515.00","$171,601.00",,,"$89,290.37",,,"$260,891.37",,,,,,,,,,,,$120.86,"$261,012.23",,"$69,034.81",,,,,,,,,,,,,,,,,,,,,"$4,000.00",,"$73,034.81","$260,891.37","$69,034.81","$391,642.62","$579,620.04",,,2015-04-01,2015-06-30,,H8MD01094,,,,,,,,,,,,,,,,,,,,,
ANDY TOBIN FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00550012,TER,H,P,T,2532 NORTH 4TH STREET #528,FLAGSTAFF,AZ,86004,"RAGAN, ASHLEY MRS.",C00550012,2016,,,,,,,,,,,,,,,,,,,,,,$187.19,,"$8,352.74",,,,$187.19,,,,,,,,,,,,,,,,,,,"$8,352.74",,"$8,165.55","$8,240.37",$74.82,,,2015-01-01,2015-01-26,,H0AZ01325,,,,,,,,,,,,,,,,,,,,,
ANDY WHALLON FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00552604,Q1,H,P,Q,1995 CANAL AVE,LONG BEACH,CA,90810,ANDREW WHALLON,C00552604,2016,,,,,,,,,,,,,,,,,,,,,,$451.70,,$885.57,,,,$451.70,,,,,,,,,,,,,,,,,,,$885.57,,$433.87,$498.48,$64.61,"$54,800.00",,2015-01-01,2015-03-31,,H4CA47069,,,,,,,,,,,,,,,,,,,,,
ANDY WHALLON FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00552604,Q2,H,P,Q,1995 CANAL AVE,LONG BEACH,CA,90810,ANDREW WHALLON,C00552604,2016,,,,,,,,,,,"$1,000.00",,,,"$1,000.00",,,,,,,"$1,000.00",,$132.97,,,,,,,,,,,,,,,,,,,,,,,$132.97,,$132.97,$64.61,$931.64,"$55,800.00",,2015-04-01,2015-06-30,,H4CA47069,,,,,,,,,,,,,,,,,,,,,
ANESA FOR IOWA,http://images.nictusa.com/cgi-bin/fecimg/?C00546994,Q1,H,P,Q,3012 SAN SALVADOR DR,WATERLOO,IA,50702,ERIC BEARBOWER,C00546994,2016,,,,,,,,,,,,,,,,,,,,,,,,"$2,883.64",,,,,,,,,,,,,,,,,,,,,,,"$2,883.64",,"$2,883.64","$3,521.73",$638.09,"$1,200.00",,2015-01-01,2015-03-31,,H4IA01101,,,,,,,,,,,,,,,,,,,,,
ANESA FOR IOWA,http://images.nictusa.com/cgi-bin/fecimg/?C00546994,Q2,H,P,Q,3012 SAN SALVADOR DR,WATERLOO,IA,50702,ERIC BEARBOWER,C00546994,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$638.09,$638.09,"$1,200.00",,2015-04-01,2015-06-30,,H4IA01101,,,,,,,,,,,,,,,,,,,,,
ANGELA MCGLOWAN FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00476440,Q1,H,P,Q,PO BOX 2596,OXFORD,MS,38655,"FELLOWS, BENDA DR",C00476440,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,482.20","$1,482.20","$38,232.84",,2015-01-01,2015-03-31,,H0MS01076,,,,,,,,,,,,,,,,,,,,,
ANGELA MCGLOWAN FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00476440,Q2,H,P,Q,PO BOX 2596,OXFORD,MS,38655,"FELLOWS, BENDA DR",C00476440,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,482.20","$1,482.20","$38,232.84",,2015-04-01,2015-06-30,,H0MS01076,,,,,,,,,,,,,,,,,,,,,
ANGIE CRAIG FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00575209,Q2,H,P,Q,PO BOX 22116,EAGAN,MN,55122,"SWENSON, SCOTT",C00575209,2016,"$279,620.00","$30,161.00","$309,781.00",,,"$10,000.00",,"$7,600.00","$327,381.00",,,,,,,,,,,,,"$327,381.00",,"$96,439.15",,,,,,,,,,,,,,,,,,,,,,,"$96,439.15","$327,381.00","$96,439.15",,"$230,941.85",,,2015-04-01,2015-06-30,,H6MN02131,,,,,,,,,,,,,,,,,,,,,
ANGIE FOR CONGRESS WA-03,http://images.nictusa.com/cgi-bin/fecimg/?C00581017,Q2,H,P,Q,8002 NE HWY 99 PMB #636,VANCOUVER,WA,98665,"WILMOT-JOHNSON, SARAH PEARL MRS",C00581017,2016,,$848.97,$848.97,,,,,$289.07,"$1,138.04",,,,,,,,,,,,,"$1,138.04",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,138.04",,,"$1,138.04",,,2015-04-01,2015-06-30,,H6WA03176,,,,,,,,,,,,,,,,,,,,,
ANGUS KING FOR US SENATE CAMPAIGN,http://images.nictusa.com/cgi-bin/fecimg/?C00516047,Q1,S,P,Q,114 MAINE STREET SUITE 1A PO BOX 368,BRUNSWICK,ME,4011,J. MAURICE L. BISSON,C00516047,2016,"$18,625.00",$200.00,"$18,825.00",,,"$2,000.00",,$218.00,"$21,043.00",,"$20,000.00",,,,"$20,000.00",,,,,,,"$41,043.00",,"$15,733.00",,,,,,,,,,,,,,,,,,,,,,,"$15,733.00","$21,043.00","$15,733.00","$58,131.00","$83,440.00","$80,000.00",,2015-01-01,2015-03-31,,S2ME00109,,,,,,,,,,,,,,,,,,,,,
ANGUS KING FOR US SENATE CAMPAIGN,http://images.nictusa.com/cgi-bin/fecimg/?C00516047,Q2,S,P,Q,114 MAINE STREET SUITE 1A PO BOX 368,BRUNSWICK,ME,4011,J. MAURICE L. BISSON,C00516047,2016,"$16,775.00","$6,330.00","$23,105.00",,,"$6,000.00",,,"$29,105.00",,,,,,,,,,,,,"$29,105.00",,"$25,933.00",,,,,,,,,,,,,,,,,,,,,,,"$25,933.00","$29,105.00","$25,933.00","$83,440.00","$86,612.00","$80,000.00",,2015-04-01,2015-06-30,,S2ME00109,,,,,,,,,,,,,,,,,,,,,
ANN WAGNER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00495846,Q1,H,P,Q,PO BOX 50,BALLWIN,MO,63022,RICHARD MAGEE,C00495846,2016,"$173,675.00",$215.00,"$173,890.00",,,"$174,250.00",,,"$348,140.00",,,,,,,,,,,,,"$352,015.40",,"$101,044.46",,,,"$3,875.40",,,,,,,,,,,,,,,,,"$3,850.00",,"$104,894.46","$348,140.00","$97,169.06","$1,368,888.91","$1,616,009.85",,,2015-01-01,2015-03-31,,H2MO02102,,,,,,,,,,,,,,,,,,,,,
ANN WAGNER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00495846,Q2,H,P,Q,PO BOX 50,BALLWIN,MO,63022,RICHARD MAGEE,C00495846,2016,"$200,750.00",$420.00,"$201,170.00","$2,300.00",,"$184,100.00",,,"$385,270.00","$2,300.00",,,,,,,,,,,,"$385,270.00",,"$107,443.57",,,,,,,,,,,,,,,,,,,,,"$10,000.00",,"$119,743.57","$382,970.00","$107,443.57","$1,616,009.85","$1,881,536.28",,,2015-04-01,2015-06-30,,H2MO02102,,,,,,,,,,,,,,,,,,,,,
ANNA ESHOO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00258475,Q1,H,P,Q,"555 CAPITOL MALL, SUITE 1425",SACRAMENTO,CA,95814,"MCMILLAN, MARY",C00258475,2016,"$15,650.00",$50.00,"$15,700.00",$400.00,,"$49,520.00",,,"$65,220.00",$400.00,,,,,,,,,,,$617.39,"$65,837.39",,"$75,779.50",,,,,,,,,,,,,,,,,,,,,"$6,960.51",,"$83,140.01","$64,820.00","$75,779.50","$343,222.07","$325,919.45",,,2015-01-01,2015-03-31,,H8CA12098,,,,,,,,,,,,,,,,,,,,,
ANNA ESHOO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00258475,Q2,H,P,Q,"555 CAPITOL MALL, SUITE 1425",SACRAMENTO,CA,95814,"MCMILLAN, MARY",C00258475,2016,"$42,720.00","$4,304.33","$47,024.33",,,"$54,700.00",,,"$101,724.33",,,,,,,,,,,,$13.75,"$101,738.08",,"$83,069.83",,,,,,,,,,,,,,,,,,,,,"$54,927.24",,"$137,997.07","$101,724.33","$83,069.83","$325,919.45","$289,660.46",,,2015-04-01,2015-06-30,,H8CA12098,,,,,,,,,,,,,,,,,,,,,
ANNETTE BOSWORTH MD FOR US SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00547539,Q1,S,P,Q,610 S BOULEVARD,TAMPA,SD,33606,NANCY H WATKINS,C00547539,2016,,,,,,,,,,,,,,,,,,,,,,,,"$13,301.00",,,,,,,,,,,,,,,,,,,,,,,"$13,301.00",,"$13,301.00","$13,301.00",,"$33,000.00",,2015-01-01,2015-03-31,,S4SD00064,,,,,,,,,,,,,,,,,,,,,
